year,quarter,impact,recession,total,federal,state_local,consumption,projection
1999,Q4,-0.4098078946304261,0,0.022203957095985827,0.2486532437530921,0.10002772491473358,-0.3264770115718399,0
2000,Q1,-0.6803939827744832,0,-1.779577231388353,-1.0974065298446445,-0.1744125000454967,-0.5077582014982118,0
2000,Q2,-0.543926306093013,0,-0.2705359810774607,0.5475120486947594,-0.5692858967701683,-0.24876213300205186,0
2000,Q3,-0.7674601845316681,0,-1.0419314827568447,-0.716648103290998,-0.29144794627980825,-0.03383543318603843,0
2000,Q4,-0.8250533778413457,0,-0.20816881614272445,-0.1657979514275873,-0.063936795011033,0.021565930295895836,0
2001,Q1,-0.19279417092882445,1,0.7494595962617316,0.33684461942668903,0.17963397328073477,0.23298100355430784,0
2001,Q2,0.12225979727282513,1,0.9896798917291376,0.1624988605954578,0.5302426984040879,0.29693833272959186,0
2001,Q3,0.5446616523968156,1,0.6476759377391175,-0.04526748186861668,-0.5939351338959467,1.2868785535036809,0
2001,Q4,1.059583541145676,1,1.8515187388527172,0.12686399075299476,0.5973555026882554,1.127299245411467,0
2002,Q1,1.42994673812148,0,2.2309123841649483,0.7158535637556693,0.13571206478270414,1.3793467556265748,0
2002,Q2,1.6755008980928041,0,1.971896531614433,0.36231388220489064,-0.259448762335646,1.8690314117451885,0
2002,Q3,1.873210740044811,0,1.4385153055471451,0.09831735043900994,-0.1882821213186565,1.5284800764267916,0
2002,Q4,1.7142452496695897,0,1.2156567773518323,0.3113714999696408,-0.21247437202711744,1.1167596494093088,0
2003,Q1,1.3704770233607348,0,0.8558394789295287,0.15954975238503927,-0.566644989343998,1.2629347158884874,0
2003,Q2,1.235944710327372,0,1.4337672794809815,0.8653205908260664,-0.5774978244389714,1.1459445130938866,0
2003,Q3,1.0547511604429292,0,0.7137411060093743,-0.18794807222301757,-0.11409760141272351,1.0157867796451154,0
2003,Q4,0.9221249229415508,0,0.685151827346319,0.37251505318748346,-0.37491670125941245,0.687553475418248,0
2004,Q1,0.7406366403286295,0,0.1298863484778434,0.14050937947508216,-0.26827216962110007,0.2576491386238613,0
2004,Q2,0.3743084520834039,0,-0.031545473499921095,-0.01151275356738202,-0.27208863195687244,0.25205591202433336,0
2004,Q3,0.09738132588868076,0,-0.39396739876951825,0.13741935250627044,-0.48807160342789946,-0.04331514784788927,0
2004,Q4,-0.213936255533568,0,-0.560118498342676,-0.24886516022981273,-0.30819107462477335,-0.0030622634880899074,0
2005,Q1,-0.39945463076335835,0,-0.612187152441318,0.14474898834423502,-0.2503330995532176,-0.5066030412323355,0
2005,Q2,-0.6590659880915103,0,-1.069990902812529,-0.21019949975630373,-0.3059499118609076,-0.5538414911953177,0
2005,Q3,-0.7401866726417622,0,-0.7184501369705256,0.0517544074607344,-0.26126462672086165,-0.5089399177103984,0
2005,Q4,-0.8202266048455567,0,-0.880278227157854,-0.15816816248839244,-0.2240207806469098,-0.49808928402255176,0
2006,Q1,-0.6913272910710329,0,-0.09658989734322243,0.6248940447606718,-0.05528377409571563,-0.6662001680081786,0
2006,Q2,-0.6964543769512884,0,-1.0904992463335512,-0.36094639664138806,-0.08048143257711587,-0.6490714171150473,0
2006,Q3,-0.729673873124816,0,-0.8513281216646359,-0.41448377103047923,-0.0980343745379365,-0.3388099760962202,0
2006,Q4,-0.5630663214765967,0,-0.21384802056497693,0.2868625015601395,-0.018273093517981717,-0.4824374286071347,0
2007,Q1,-0.6927265574225681,0,-0.6152308411271077,-0.3203057758023912,0.04649962738847966,-0.3414246927131962,0
2007,Q2,-0.4242665898766588,0,-0.016659376149913918,0.34363345330414596,-0.007323033044771732,-0.35296979640928816,0
2007,Q3,-0.25136645405630387,0,-0.15972757838321622,0.11046399324280361,-0.14522247914581257,-0.12496909248020727,0
2007,Q4,-0.09347019917544806,1,0.41773699895844635,0.3612099867740811,-0.10914388299685022,0.16567089518121547,0
2008,Q1,0.054627465155219004,1,-0.022840183804439418,0.3186858510006837,-0.5102965370065091,0.168770502201386,0
2008,Q2,0.7405089262094113,1,2.7268664680668553,0.5294395272408748,-0.19941841085139156,2.396845351677372,0
2008,Q3,1.1569126211319918,1,1.5058872013071058,0.2695032736439799,0.021337470130697464,1.2150464575324285,0
2008,Q4,1.3506115598139194,1,1.1925327536861572,0.2784974345512772,-0.06811886193904597,0.982154181073926,0
2009,Q1,2.1583890401572567,1,3.2082697375689104,0.29779058069547043,0.3123019063195706,2.5981772505538694,0
2009,Q2,2.1363577290036098,1,2.6387412234522674,0.683286626497993,0.25731486426279804,1.6981397326914764,0
2009,Q3,2.3747832684980907,0,2.459589359285029,0.19321979990227875,-0.2625290239619188,2.5288985833446693,0
2009,Q4,2.627032093501064,0,2.201528053698051,0.405462783540154,-0.5240459642372721,2.3201112343951693,0
2010,Q1,2.214425004673039,0,1.5578413822568105,0.2748183740832907,-0.9166509105537175,2.199673918727237,0
2010,Q2,1.876210678339175,0,1.2858839181168116,0.34034744806942696,-0.3758601482764166,1.3213966183238013,0
2010,Q3,1.3327704978813268,0,0.2858286374536372,-0.2865002072147413,-0.6213552887345886,1.193684133402967,0
2010,Q4,0.8306137772432642,0,0.19290117114580085,-0.1866350992188791,-0.6636263589343522,1.0431626292990321,0
2011,Q1,0.0594652902243169,0,-1.526752565818979,-0.6154496763293583,-0.7188924561501576,-0.19241043333946287,0
2011,Q2,-0.6048037947363302,0,-1.3711924217257767,-0.27352176662654554,-0.6311805551600941,-0.466490099939137,0
2011,Q3,-1.203139220639565,0,-2.107513066159303,-0.8544554754484117,-0.6262257163723283,-0.6268318743385628,0
2011,Q4,-1.5107540066770815,0,-1.0375579730042657,-0.02100164584987591,-0.380241839283085,-0.6363144878713047,0
2012,Q1,-1.496415052372027,0,-1.4693967485987605,-0.1447299919168019,-0.5404483158145442,-0.7842184408674142,0
2012,Q2,-1.4987733537802024,0,-1.3806256273584787,-0.39866899824838187,-0.3604294520221388,-0.6215271770879579,0
2012,Q3,-1.208887007822323,0,-0.9479676823277858,-0.07519185797436917,-0.38705765958370375,-0.48571816476971297,0
2012,Q4,-1.3574066793697015,0,-1.6316366591937788,-0.7566443495502895,-0.33150810913817913,-0.5434842005053102,0
2013,Q1,-1.467555158968394,0,-1.90999066699353,-0.8155206173416848,-0.22114134649339845,-0.8733287031584467,0
2013,Q2,-1.4509209583087692,0,-1.31408882471998,-0.36267970417244527,-0.07254282504551843,-0.8788662955020163,0
2013,Q3,-1.4951066006351879,0,-1.1247102516334604,-0.5405532031360324,-0.16049638059638024,-0.42366066790104767,0
2013,Q4,-1.4420787971797115,0,-1.4195254453718742,-0.6166455058921267,-0.2874716308392067,-0.5154083086405408,0
2014,Q1,-1.3004318993287751,0,-1.3434030755897848,-0.15900965171459105,-0.49703768637693296,-0.6873557374982607,0
2014,Q2,-1.1603412745180235,0,-0.7537263254769735,-0.2930348702987655,0.05743039112784739,-0.5181218463060554,0
2014,Q3,-0.9265234383803378,0,-0.1894389070827175,0.19276170685501665,-0.03997175744736285,-0.34222885649037127,0
2014,Q4,-0.7186625010673006,0,-0.588081696119725,-0.5377414988990162,0.15818362868264543,-0.20852382590335433,0
2015,Q1,-0.3688026710134564,0,0.056036244625591904,-0.019263822053089814,0.11479782932925639,-0.039497762650574676,0
2015,Q2,-0.10148076415159218,0,0.31556130197048315,-0.04218093812312233,0.41818625161254513,-0.06044401151893965,0
2015,Q3,-0.06570646327408133,0,-0.04634170357267409,-0.15038663024483273,0.1968199415093011,-0.09277501483714246,0
2015,Q4,0.04441156847851435,0,-0.14760956910934228,0.07794160581665498,-0.10258289098780693,-0.12296828393819033,0
2016,Q1,0.11402885306714873,0,0.3345053829801294,-0.10476296311755467,0.4318730788127022,0.007395267284981852,0
2016,Q2,-0.06180765421642015,0,-0.38778472716379236,-0.25407281597381765,-0.12358464497553075,-0.010127266214444004,0
2016,Q3,-0.08427868311013959,0,-0.1362258191475518,0.019959684100146497,-0.03298849506788164,-0.12319700817981666,0
2016,Q4,-0.10340631610557988,0,-0.22412010109110345,-0.09736773027058408,-0.09816814914638368,-0.02858422167413569,0
2017,Q1,-0.27201992877607845,0,-0.33994906770186484,-0.23042143810485166,-0.28522344251196574,0.1756958129149526,0
2017,Q2,-0.1717601551208649,0,0.013254367457061766,0.02138208125284094,-0.14365718732036684,0.13552947352458766,0
2017,Q3,-0.18099614782407775,0,-0.17316978996040316,-0.14065419483262256,-0.10417688761357544,0.07166129248579484,0
2017,Q4,-0.08389404324111774,0,0.1642883172407365,0.22742623504811668,0.06988911624487937,-0.13302703405225952,0
2018,Q1,-0.024369080823878897,0,-0.10184921803290947,0.13829417891402124,-0.3338998638615665,0.0937564669146358,0
2018,Q2,0.07319726406479206,0,0.4035197470117456,0.05457923556426916,0.09288306354409162,0.2560574479033848,0
2018,Q3,0.18270802861210633,0,0.26487326822885393,0.20715431940198242,-0.009404520014340154,0.06712346884121168,0
2018,Q4,0.0924150232553524,0,-0.1968837041862792,-0.009505100538013985,-0.260006304555939,0.07262770090767379,0
2019,Q1,0.2997576840374543,0,0.7275214250954982,0.15618976525314324,0.46245073814658727,0.10888092169576769,0
2019,Q2,0.35999125489051975,0,0.6444540304240075,0.13101021978754931,0.4694640138307893,0.04397979680566888,0
2019,Q3,0.46358836428241923,0,0.679261705796452,0.19591505269303625,0.25329449339460686,0.23005215970880888,0
2019,Q4,0.6432006046582674,1,0.5215652573171137,0.010333632725152761,0.20712018615907363,0.3041114384328873,0
2020,Q1,0.5778843737774569,1,0.466256501572256,0.14656232082630857,0.2835874146278806,0.03610676611806678,0
2020,Q2,3.005622739191539,1,10.355407492080335,2.073894565161687,-0.6323086021157746,8.913821529034422,0
2020,Q3,3.852041544066048,0,4.064936925294488,-1.103985550968969,-0.48928638505264044,5.658208861316097,0
2020,Q4,2.8142646692854147,0,-3.6295422418054195,-0.1234328977875862,-0.5145641254874453,-2.991545218530388,0
2021,Q1,4.793345445855864,0,8.382579607854055,1.08828353147454,-0.39078435343450785,7.685080429814022,0
2021,Q2,1.609984435976659,0,-2.3780365474364853,-0.698745551170001,-0.40300188864846587,-1.2762891076180183,0
2021,Q3,-0.14469363912264743,0,-2.9537753751027385,-0.6467415658054492,0.05520827931852545,-2.362242088615815,0
2021,Q4,0.008382600593676237,0,-3.017237282940125,0.07894072910796085,-0.471584275565075,-2.6245937364830105,0
2022,Q1,-3.0743491008144015,0,-3.9483471977782565,-0.7004657305625848,-0.23587405193587394,-3.0120074152797978,0
2022,Q2,-3.711808358973689,0,-4.927873580073635,-0.347297773365581,-0.27613163641303246,-4.304444170295022,0
2022,Q3,-3.5741446763279163,0,-2.403120644519649,-0.16054217701755202,0.07243490176642453,-2.3150133692685215,0
2022,Q4,-2.868710822092138,0,-0.19550186599701203,0.43818807142742483,0.1455078388637142,-0.779197776288151,0
2023,Q1,-1.8777591330005499,0,0.015459558588096223,0.16741910435791738,0.35242452001796826,-0.5043840657877894,0
2023,Q2,-0.786040989166878,0,-0.5610010047389482,-0.1990359228733619,0.35580072620670483,-0.7177658080722912,0
2023,Q3,-0.149657726149524,0,0.14241240754976686,0.2098787549400195,0.4200068407818399,-0.48747318817209256,0
2023,Q4,-0.20576391836138075,0,-0.419926634844439,-0.15177182881900653,0.4307828142935309,-0.6989376203189633,0
2024,Q1,-0.20013464158200933,0,0.03797666570558185,-0.15359050581038078,0.10915913126192045,0.08240804025404218,0
2024,Q2,-0.01893528735353578,0,0.16379641217494598,0.1424365256774246,0.027982633904079852,-0.006622747406558456,0
2024,Q3,0.07635209465881156,0,0.5235619355991562,0.43699382190906455,0.0874518354435792,-8.837217534875365e-4,0
2024,Q4,0.09916037304465475,0,-0.3286935213010662,-0.6169960808536127,-0.1106077856553664,0.3989103452079129,1
